Timestamp,NZST_Datetime,NZDT_Datetime,Location,serial,conc,1hr_avg,flow,temp,rh,pres,dust_count,status,GPS_latitude,GPS_longitude,GPS_altitude,GPS_fix,SignalStrength%,v_batt
1652229060,2022/05/11 12:31:00,2022/05/11 12:31:00,Nelson,,0.11,0.11,2,13.36,38,1035.11,37,00,4122.3393S,17306.4083E,64.0,3,41.9,0
1652229120,2022/05/11 12:32:00,2022/05/11 12:32:00,Nelson,,0.37,0.24,2,13.26,38.56,1035.15,54,00,4122.3393S,17306.4083E,64.0,3,41.9,0
1652229180,2022/05/11 12:33:00,2022/05/11 12:33:00,Nelson,,1.02,0.5,2,12.94,38.02,1035.15,55,00,4122.3291S,17306.4022E,47.0,3,38.7,0
1652229240,2022/05/11 12:34:00,2022/05/11 12:34:00,Nelson,,1,0.63,2,13.4,38,1035.12,55,00,4122.3291S,17306.4022E,47.0,3,38.7,0
1652229300,2022/05/11 12:35:00,2022/05/11 12:35:00,Nelson,,0.11,0.52,2,13.44,37.51,1035.08,55,00,4122.3291S,17306.4022E,47.0,3,38.7,0
1652229360,2022/05/11 12:36:00,2022/05/11 12:36:00,Nelson,,1.02,0.61,2,13.74,37,1035.07,55,00,4122.3378S,17306.4099E,61.0,3,38.7,0
1652229420,2022/05/11 12:37:00,2022/05/11 12:37:00,Nelson,,0.44,0.58,2,13.56,37.07,1035.07,55,00,4122.3378S,17306.4099E,61.0,3,38.7,0
1652229480,2022/05/11 12:38:00,2022/05/11 12:38:00,Nelson,,0.89,0.62,2,13.94,37.29,1035.03,55,00,4122.3378S,17306.4099E,61.0,3,38.7,0
1652229540,2022/05/11 12:39:00,2022/05/11 12:39:00,Nelson,,0.91,0.65,2,14.4,36.67,1035.05,55,00,4122.3378S,17306.4099E,61.0,3,38.7,0
1652229600,2022/05/11 12:40:00,2022/05/11 12:40:00,Nelson,,1.04,0.69,2,14.57,36,1035.02,55,00,4122.3378S,17306.4099E,61.0,3,38.7,0
1652229660,2022/05/11 12:41:00,2022/05/11 12:41:00,Nelson,,0.93,0.71,2,14.57,35.98,1034.99,56,00,4122.3381S,17306.4121E,59.0,3,35.5,0
