"","Time","Date","Flags","pm","pmb","avgpm","avgpmb","datetime"
"1","14:45:00",2022-03-29,"--------","10.1991","4.59231","9.08229","3.68414",2022-03-29 14:45:00
"2","14:50:00",2022-03-29,"--------","14.1468","5.13673","9.08229","3.68414",2022-03-29 14:50:00
"3","14:55:00",2022-03-29,"--------","14.9871","6.27339","9.08229","3.68414",2022-03-29 14:55:00
"4","15:00:00",2022-03-29,"--------","16.1798","3.20887","9.08229","3.68414",2022-03-29 15:00:00
"5","15:05:00",2022-03-29,"--------","15.8998","4.67447","9.08229","3.68414",2022-03-29 15:05:00
"6","15:10:00",2022-03-29,"--------","15.7451","4.99284","9.08229","3.68414",2022-03-29 15:10:00
"7","15:15:00",2022-03-29,"--------","16.0974","6.9807","9.08229","3.68414",2022-03-29 15:15:00
"8","15:20:00",2022-03-29,"--------","17.2078","5.24308","9.08229","3.68414",2022-03-29 15:20:00
"9","15:25:00",2022-03-29,"--------","13.4409","3.27491","9.08229","3.68414",2022-03-29 15:25:00
"10","15:30:00",2022-03-29,"--------","14.545","5.01362","9.08229","3.68414",2022-03-29 15:30:00
"11","15:35:00",2022-03-29,"--------","19.1458","7.03942","9.08229","3.68414",2022-03-29 15:35:00
"12","15:40:00",2022-03-29,"--------","21.0634","5.63983","9.08229","3.68414",2022-03-29 15:40:00
"13","15:45:00",2022-03-29,"--------","20.9929","4.18286","9.08229","3.68414",2022-03-29 15:45:00
"14","15:50:00",2022-03-29,"--------","19.4315","4.8095","9.08229","3.68414",2022-03-29 15:50:00
"15","15:55:00",2022-03-29,"--------","17.3408","7.45664","9.08229","3.68414",2022-03-29 15:55:00
"16","16:00:00",2022-03-29,"--------","13.2104","7.05838","9.08229","3.68414",2022-03-29 16:00:00
"17","16:05:00",2022-03-29,"--------","13.3738","7.88369","9.08229","3.68414",2022-03-29 16:05:00
"18","16:10:00",2022-03-29,"--------","13.3738","7.88369","9.08229","3.68414",2022-03-29 16:10:00
"19","16:15:00",2022-03-29,"--------","13.3738","7.88366","9.08229","3.68414",2022-03-29 16:15:00
"20","16:20:00",2022-03-29,"--------","14.5438","6.83167","9.08229","3.68414",2022-03-29 16:20:00
"21","16:25:00",2022-03-29,"--------","16.7678","6.33305","9.08229","3.68414",2022-03-29 16:25:00
"22","16:30:00",2022-03-29,"--------","20.62","3.38884","9.08229","3.68414",2022-03-29 16:30:00
"23","16:35:00",2022-03-29,"--------","20.5421","1.67807","9.08229","3.68414",2022-03-29 16:35:00
"24","16:40:00",2022-03-29,"--------","19.6525","2.65353","9.08229","3.68414",2022-03-29 16:40:00
"25","16:45:00",2022-03-29,"--------","19.8927","2.91341","9.08229","3.68414",2022-03-29 16:45:00
"26","16:50:00",2022-03-29,"--------","21.3134","2.42723","9.08229","3.68414",2022-03-29 16:50:00
"27","16:55:00",2022-03-29,"--------","20.1538","3.95064","9.08229","3.68414",2022-03-29 16:55:00
"28","17:00:00",2022-03-29,"--------","20.8658","6.57168","9.08229","3.68414",2022-03-29 17:00:00
"29","17:05:00",2022-03-29,"--------","21.9426","5.93619","9.08229","3.68414",2022-03-29 17:05:00
"30","17:10:00",2022-03-29,"--------","22.3221","7.03819","9.08229","3.68414",2022-03-29 17:10:00
"31","17:15:00",2022-03-29,"--------","21.1835","5.07025","9.08229","3.68414",2022-03-29 17:15:00
"32","17:20:00",2022-03-29,"--------","20.3669","1.90878","9.08229","3.68414",2022-03-29 17:20:00
"33","17:25:00",2022-03-29,"--------","20.0056","0.342222","9.08229","3.68414",2022-03-29 17:25:00
"34","17:30:00",2022-03-29,"--------","20.9517","-0.926013","9.08229","3.68414",2022-03-29 17:30:00
"35","17:35:00",2022-03-29,"--------","20.2232","1.64453","9.08229","3.68414",2022-03-29 17:35:00
"36","17:40:00",2022-03-29,"--------","18.7884","4.81406","9.08229","3.68414",2022-03-29 17:40:00
"37","17:45:00",2022-03-29,"--------","17.5619","7.06001","9.08229","3.68414",2022-03-29 17:45:00
"38","17:50:00",2022-03-29,"--------","16.4314","6.14576","9.08229","3.68414",2022-03-29 17:50:00
"39","17:55:00",2022-03-29,"--------","15.6887","4.30849","9.08229","3.68414",2022-03-29 17:55:00
"40","18:00:00",2022-03-29,"--------","17.0205","4.09731","9.08229","3.68414",2022-03-29 18:00:00
"41","18:05:00",2022-03-29,"--------","15.1411","6.89569","9.08229","3.68414",2022-03-29 18:05:00
"42","18:10:00",2022-03-29,"--------","12.8038","4.37811","9.08229","3.68414",2022-03-29 18:10:00
"43","18:15:00",2022-03-29,"--------","13.6117","0.913609","9.08229","3.68414",2022-03-29 18:15:00
"44","18:20:00",2022-03-29,"--------","13.5147","0.0322892","9.08229","3.68414",2022-03-29 18:20:00
"45","18:25:00",2022-03-29,"--------","11.5592","1.27493","9.08229","3.68414",2022-03-29 18:25:00
"46","18:30:00",2022-03-29,"--------","11.8357","1.8897","9.08229","3.68414",2022-03-29 18:30:00
"47","18:35:00",2022-03-29,"--------","12.5851","4.72658","9.08229","3.68414",2022-03-29 18:35:00
"48","18:40:00",2022-03-29,"--------","10.6576","7.28767","9.08229","3.68414",2022-03-29 18:40:00
"49","18:45:00",2022-03-29,"--------","10.9088","5.14001","9.08229","3.68414",2022-03-29 18:45:00
"50","18:50:00",2022-03-29,"--------","10.9696","5.33471","9.08229","3.68414",2022-03-29 18:50:00
"51","18:55:00",2022-03-29,"--------","11.6013","4.56788","9.08229","3.68414",2022-03-29 18:55:00
"52","19:00:00",2022-03-29,"--------","10.7981","4.72382","9.08229","3.68414",2022-03-29 19:00:00
"53","19:05:00",2022-03-29,"--------","10.2393","10.4621","9.08229","3.68414",2022-03-29 19:05:00
"54","19:10:00",2022-03-29,"--------","8.50409","10.7507","9.08229","3.68414",2022-03-29 19:10:00
"55","19:15:00",2022-03-29,"--------","10.3148","6.70272","9.08229","3.68414",2022-03-29 19:15:00
"56","19:20:00",2022-03-29,"--------","14.0272","4.04481","9.08229","3.68414",2022-03-29 19:20:00
"57","19:25:00",2022-03-29,"--------","16.7076","4.19306","9.08229","3.68414",2022-03-29 19:25:00
"58","19:30:00",2022-03-29,"--------","13.9721","3.72828","9.08229","3.68414",2022-03-29 19:30:00
