"","Time","Date","Flags","pm","pmb","baro","vac","vacb","pflow","pflowb","ambrh","srh","srhb","ambtemp","ftemp","ftempb","fvol","fvolb","beta","betab","araw","arawb","mcmp","mcmpb","datetime"
"1","15:30:00",2022-03-29,"--------","15.4893","5.02993","759.694","68.5813","68.3788","31.4671","22.9287","53.8687","34.1174","34.2778","22.5907","30.6565","30.5714","16.6974","16.6877","12694.9","11320.7","5","0","127.109","52.1523",2022-03-29 15:30:00
"2","16:00:00",2022-03-29,"--------","18.5308","6.0311","759.531","69.3472","68.8692","31.3548","23.0238","62.9371","38.3156","38.6295","22.3607","31.1316","30.9832","16.6677","16.6623","12841.5","11340.5","1","1","0","0",2022-03-29 16:00:00
"3","16:30:00",2022-03-29,"--------","15.3422","6.7008","759.926","68.5282","68.7373","31.6693","23.3807","66.2353","36.7066","36.4968","21.6132","32.0501","32.1551","16.6883","16.6708","13176.6","11969.9","1","0","0.693257","-5.16889",2022-03-29 16:30:00
"4","17:00:00",2022-03-29,"--------","20.4034","3.36576","759.553","69.0331","68.9979","32.189","23.5617","71.0024","36.0332","36.0759","20.147","32.0818","32.06","16.6716","16.6686","12952.8","11724","1","1","17.4105","-1.66521",2022-03-29 17:00:00
"5","17:30:00",2022-03-29,"--------","21.1287","3.22827","760.251","69.4201","69.3528","32.1359","23.6472","70.9181","35.4369","35.5402","20.0895","32.3035","32.2501","16.6395","16.6699","12765.5","11678.3","4","3","21.8613","7.07238",2022-03-29 17:30:00
"6","18:00:00",2022-03-29,"--------","17.619","4.67836","760.42","69.4506","69.4983","32.2928","23.7656","76.0358","35.7326","35.8369","18.8821","32.1134","32.06","16.668","16.6546","12848.5","11735.5","2","3","24.6272","12.9426",2022-03-29 18:00:00
"7","18:30:00",2022-03-29,"--------","13.0777","2.56406","760.919","69.8567","69.8151","32.377","24.1027","79.8232","35.8104","35.7909","18.1347","32.1451","32.1551","16.6427","16.6993","12835.6","11754.1","4","2","30.3099","10.9632",2022-03-29 18:30:00
"8","19:00:00",2022-03-29,"--------","11.2534","5.29678","761.009","70.1621","69.9847","33.159","24.0906","85.8767","35.7647","35.8689","17.0997","32.3668","32.3134","16.6788","16.6657","12990","11762.2","2","3","38.5045","27.5165",2022-03-29 19:00:00
"9","19:30:00",2022-03-29,"--------","12.2942","6.64693","761.301","70.6007","70.4145","33.32","24.4617","89.7411","35.2179","35.1987","15.8635","32.0818","32.0917","16.663","16.6473","12784.1","11803.6","1","0","38.5154","14.1684",2022-03-29 19:30:00
"10","20:00:00",2022-03-29,"--------","12.6399","4.25902","761.672","70.7053","70.5329","33.523","24.502","91.133","35.0142","34.9951","15.3461","31.8917","31.9017","16.6627","16.6802","12738","11694.3","2","3","47.4859","9.54549",2022-03-29 20:00:00
"11","20:30:00",2022-03-29,"--------","15.8485","3.23118","761.711","70.8856","70.6842","33.4142","24.4502","92.8024","35.2726","35.2534","14.9148","31.6067","31.6166","16.6838","16.6404","12686.2","11739.6","0","1","64.163","20.778",2022-03-29 20:30:00
"12","21:00:00",2022-03-29,"--------","14.568","3.11104","761.523","70.9856","71.0011","33.6133","24.5997","94.1849","33.6612","33.5846","14.1674","31.8917","31.9334","16.6567","16.6387","12941.7","11507.6","2","2","52.0299","3.7151",2022-03-29 21:00:00
"13","21:30:00",2022-03-29,"--------","0.852855","-3.50821","761.845","71.0698","71.0412","33.7397","24.6279","96.1983","33.1923","33.117","13.7936","32.1134","32.1551","16.6655","16.6292","12694.7","11641.3","6","1","7.19253","-1.22037",2022-03-29 21:30:00
"14","22:00:00",2022-03-29,"--------","6.79581","-3.06291","761.824","70.7848","70.823","33.9408","24.7281","94.6766","32.6534","32.3543","13.5349","31.8284","31.9967","16.6955","16.6664","12633.6","11976.2","1","2","22.0309","3.00467",2022-03-29 22:00:00
"15","22:30:00",2022-03-29,"--------","10.8284","0.364497","761.69","70.29","70.2683","33.7443","24.8873","95.9431","33.3511","33.0441","13.0174","31.0999","31.2682","16.6488","16.6615","12634","11670.4","4","1","22.496","5.64643",2022-03-29 22:30:00
"16","23:00:00",2022-03-29,"--------","9.60062","-1.23946","762.098","70.2825","70.2613","33.6443","24.8128","96.9036","34.2714","34.0737","12.9024","30.6565","30.7615","16.6521","16.6937","12738.1","11704","0","1","22.9751","-4.34535",2022-03-29 23:00:00
"17","23:30:00",2022-03-29,"--------","9.13615","-0.73116","761.715","70.2417","70.1696","34.0586","24.7732","98.8234","34.8168","34.6157","12.6724","30.4664","30.5714","16.6851","16.6559","12760.1","11682.6","0","1","39.263","8.5644",2022-03-29 23:30:00
"18","00:00:00",2022-03-30,"--------","7.45082","6.06217","761.569","70.3143","70.0082","33.8758","24.6179","98.8772","34.8909","34.7499","12.5574","30.3081","30.3814","16.6737","16.6465","12564","11518","2","0","0","0",2022-03-30 00:00:00
"19","00:30:00",2022-03-30,"--------","13.0126","0.475962","761.998","68.7962","66.8594","33.4723","24.6163","99.1085","34.7699","34.8118","12.1837","29.9914","29.9696","16.6081","16.671","12876.7","11374.1","2","3","2.31256","12.0058",2022-03-30 00:30:00
"20","01:00:00",2022-03-30,"--------","14.4997","-8.52517","761.905","68.9141","66.7802","33.9301","24.7069","99.894","34.6664","34.526","11.9537","29.928","30.0013","16.6807","16.6679","12944.1","11332.6","3","1","10.9407","18.4766",2022-03-30 01:00:00
"21","01:30:00",2022-03-30,"--------","11.075","2.42001","762.239","68.8717","66.777","33.8607","24.8406","100","34.7595","34.7403","11.8675","29.8013","29.8113","16.679","16.6826","12896.5","11207","3","2","19.3239","16.3293",2022-03-30 01:30:00
"22","02:00:00",2022-03-30,"--------","14.9776","5.4476","761.384","69.038","66.9074","33.6047","24.6093","100","35.0737","34.9928","12.0112","29.8013","29.843","16.6535","16.6415","12812.6","11128.9","2","0","22.6137","9.11883",2022-03-30 02:00:00
"23","02:30:00",2022-03-30,"--------","10.618","3.40061","761.795","69.1107","66.9835","33.8824","24.6616","99.942","34.4326","34.4136","11.81","29.8963","29.9063","16.6713","16.6614","12875.9","11268.4","1","2","27.8136","16.6776",2022-03-30 02:30:00
"24","03:00:00",2022-03-30,"--------","10.4197","2.79156","761.303","69.2876","67.0254","33.7341","24.601","98.1982","35.3875","35.4301","12.5574","29.928","29.9063","16.6716","16.6816","12894.4","11164.9","1","3","25.1369","19.6981",2022-03-30 03:00:00
"25","03:30:00",2022-03-30,"--------","4.35095","6.03419","761.476","69.2059","66.9597","33.6617","24.6116","98.0528","34.8958","34.8154","12.385","29.9597","30.0013","16.6658","16.6737","12973.9","11377.9","3","1","26.0642","32.7174",2022-03-30 03:30:00
"26","04:00:00",2022-03-30,"--------","3.34994","7.1323","761.475","69.2543","66.9187","33.7388","24.5146","96.1601","34.9672","34.948","12.7587","29.9914","30.0013","16.6581","16.66","12645.6","11234.9","1","1","30.2556","28.5615",2022-03-30 04:00:00
"27","04:30:00",2022-03-30,"--------","5.54674","4.78795","761.202","69.3908","67.0098","33.611","24.3366","95.5875","34.7057","34.6259","12.9312","30.2131","30.2547","16.6876","16.6365","12770.3","11240.8","2","0","40.4111","29.6631",2022-03-30 04:30:00
"28","05:00:00",2022-03-30,"--------","6.31973","2.36646","761.126","69.3175","67.0121","33.5517","24.5951","97.0122","34.843","34.7629","12.6724","30.118","30.1597","16.656","16.6796","12804.6","11222.8","2","1","31.5398","28.2382",2022-03-30 05:00:00
"29","05:30:00",2022-03-30,"--------","5.49728","0.283705","761.543","69.4147","67.025","33.8474","24.6182","97.2179","34.4761","34.4571","12.3562","29.9914","30.0013","16.6838","16.6713","12967","11248.3","1","1","35.3165","17.9936",2022-03-30 05:30:00
"30","06:00:00",2022-03-30,"--------","3.10793","-3.46107","761.742","69.5647","67.244","33.6277","24.7734","98.5377","35.0055","34.9862","12.3562","29.9597","29.9696","16.6894","16.685","12748.2","11265","2","0","49.6205","35.4538",2022-03-30 06:00:00
"31","06:30:00",2022-03-30,"--------","6.09725","2.04445","761.33","69.6951","67.3514","33.6967","24.6871","99.0119","35.4272","35.4698","12.4712","29.9597","29.938","16.6595","16.7002","13060.1","11397","2","1","48.8234","31.9702",2022-03-30 06:30:00
"32","07:00:00",2022-03-30,"--------","9.79237","7.5239","761.605","69.9376","67.5291","33.6878","24.5604","98.8772","35.3831","35.4257","12.5574","30.0547","30.033","16.674","16.6802","12754.5","11304.7","3","3","45.4333","29.9673",2022-03-30 07:00:00
"33","07:30:00",2022-03-30,"--------","6.02112","1.71674","761.579","70.4321","67.7784","33.7986","24.3922","98.6835","36.0274","36.1971","13.1324","30.3398","30.2547","16.669","16.6497","12777.8","11210.5","5","1","59.9049","32.4417",2022-03-30 07:30:00
"34","08:00:00",2022-03-30,"--------","12.2382","5.17903","761.625","70.7646","68.0738","33.3311","24.2161","89.3777","35.5513","35.5318","15.2886","31.1949","31.2049","16.6557","16.6173","12728.5","11312.5","1","1","0","0",2022-03-30 08:00:00
"35","08:30:00",2022-03-30,"--------","9.55343","13.0268","761.934","69.4134","67.1189","32.8956","24.139","85.8175","35.2986","35.5868","16.266","31.67","31.5216","16.6613","16.6807","12957.1","11779.1","0","3","1.58627","5.66147",2022-03-30 08:30:00
"36","09:00:00",2022-03-30,"--------","8.84324","23.0422","762.155","69.344","67.1426","33.0928","24.2644","82.8274","34.7313","34.8328","16.841","31.9551","31.9017","16.6824","16.6899","12542.2","11812.5","2","1","3.90145","10.2355",2022-03-30 09:00:00
"37","09:30:00",2022-03-30,"--------","5.98333","15.7384","762.376","69.7236","67.2046","32.5788","23.8135","75.5915","35.0311","35.1329","19.2558","32.7786","32.7252","16.6788","16.6754","12642.1","11643.9","5","1","4.45701","14.573",2022-03-30 09:30:00
"38","10:00:00",2022-03-30,"--------","7.46618","4.70607","762.118","69.6775","67.1324","32.5257","23.8488","72.747","34.994","35.0954","20.2908","33.222","33.1686","16.7171","16.6884","12707.7","11939.3","2","1","11.9168","8.91457",2022-03-30 10:00:00
"39","10:30:00",2022-03-30,"--------","21.8958","11.9429","761.681","68.8901","66.4185","31.3988","22.9095","60.3472","36.3781","36.6099","23.6831","32.7152","32.5985","16.6549","16.6279","12728.1","11682","1","0","32.7652","34.3949",2022-03-30 10:30:00
