datetime,voltage,air_temp,baro,humidity,air_temp_internal,voltage_backup
2022-03-29 15:30:00,16.7,22.6,759.7,53.9,30.7,16.7
2022-03-29 16:00:00,16.7,22.4,759.5,62.9,31.1,16.7
2022-03-29 16:30:00,16.7,21.6,759.9,66.2,32.1,16.7
2022-03-29 17:00:00,16.7,20.1,759.6,71,32.1,16.7
2022-03-29 17:30:00,16.6,20.1,760.3,70.9,32.3,16.7
2022-03-29 18:00:00,16.7,18.9,760.4,76,32.1,16.7
2022-03-29 18:30:00,16.6,18.1,760.9,79.8,32.1,16.7
2022-03-29 19:00:00,16.7,17.1,761,85.9,32.4,16.7
2022-03-29 19:30:00,16.7,15.9,761.3,89.7,32.1,16.6
2022-03-29 20:00:00,16.7,15.3,761.7,91.1,31.9,16.7
2022-03-29 20:30:00,16.7,14.9,761.7,92.8,31.6,16.6
2022-03-29 21:00:00,16.7,14.2,761.5,94.2,31.9,16.6
2022-03-29 21:30:00,16.7,13.8,761.8,96.2,32.1,16.6
2022-03-29 22:00:00,16.7,13.5,761.8,94.7,31.8,16.7
2022-03-29 22:30:00,16.6,13,761.7,95.9,31.1,16.7
2022-03-29 23:00:00,16.7,12.9,762.1,96.9,30.7,16.7
2022-03-29 23:30:00,16.7,12.7,761.7,98.8,30.5,16.7
2022-03-30 00:00:00,16.7,12.6,761.6,98.9,30.3,16.6
2022-03-30 00:30:00,16.6,12.2,762,99.1,30,16.7
2022-03-30 01:00:00,16.7,12,761.9,99.9,29.9,16.7
2022-03-30 01:30:00,16.7,11.9,762.2,100,29.8,16.7
2022-03-30 02:00:00,16.7,12,761.4,100,29.8,16.6
2022-03-30 02:30:00,16.7,11.8,761.8,99.9,29.9,16.7
2022-03-30 03:00:00,16.7,12.6,761.3,98.2,29.9,16.7
2022-03-30 03:30:00,16.7,12.4,761.5,98.1,30,16.7
2022-03-30 04:00:00,16.7,12.8,761.5,96.2,30,16.7
2022-03-30 04:30:00,16.7,12.9,761.2,95.6,30.2,16.6
2022-03-30 05:00:00,16.7,12.7,761.1,97,30.1,16.7
2022-03-30 05:30:00,16.7,12.4,761.5,97.2,30,16.7
2022-03-30 06:00:00,16.7,12.4,761.7,98.5,30,16.7
2022-03-30 06:30:00,16.7,12.5,761.3,99,30,16.7
2022-03-30 07:00:00,16.7,12.6,761.6,98.9,30.1,16.7
2022-03-30 07:30:00,16.7,13.1,761.6,98.7,30.3,16.6
2022-03-30 08:00:00,16.7,15.3,761.6,89.4,31.2,16.6
2022-03-30 08:30:00,16.7,16.3,761.9,85.8,31.7,16.7
2022-03-30 09:00:00,16.7,16.8,762.2,82.8,32,16.7
2022-03-30 09:30:00,16.7,19.3,762.4,75.6,32.8,16.7
2022-03-30 10:00:00,16.7,20.3,762.1,72.7,33.2,16.7
2022-03-30 10:30:00,16.7,23.7,761.7,60.3,32.7,16.6
2022-03-30 11:00:00,16.7,24.1,761.8,58.1,32.4,16.7
2022-03-30 11:30:00,16.7,24,761.4,58.3,32.5,16.7
2022-03-30 12:00:00,16.7,24.3,761.4,56.6,32.8,16.7
2022-03-30 12:30:00,16.6,24.9,761.4,58.4,33,16.7
2022-03-30 13:00:00,16.7,24.1,760.8,61,33.7,16.7
2022-03-30 13:30:00,16.7,23.6,760.8,61.2,33.7,16.7
2022-03-30 14:00:00,16.6,23.9,760.8,59.3,33.6,16.7
2022-03-30 14:30:00,16.7,24,760.3,57.9,33.5,16.6
2022-03-30 15:00:00,16.6,23.5,760.4,60.6,33.4,16.7
2022-03-30 15:30:00,16.7,23.6,759.9,61.8,33.5,16.7
2022-03-30 16:00:00,16.7,24,760.1,61,33.8,16.6
2022-03-30 16:30:00,16.6,23.4,760.1,64.4,34.1,16.7
2022-03-30 17:00:00,16.7,22.6,760.1,65.3,33.9,16.7
2022-03-30 17:30:00,16.7,22,760.4,67.7,33.8,16.7
2022-03-30 18:00:00,16.7,20.7,760.7,71.6,33.3,16.7
2022-03-30 18:30:00,16.7,20.1,760.8,73,33,16.7
2022-03-30 19:00:00,16.7,19.4,760.7,78.3,33.1,16.7
2022-03-30 19:30:00,16.7,19.5,760.9,78.9,33.4,16.7
2022-03-30 20:00:00,16.7,19.6,761.4,78.6,33.7,16.7
2022-03-30 20:30:00,16.7,19.7,761.4,78.9,33.7,16.7
