datetime,pm2p5
2022-07-31 23:59:59,17.809
2022-08-01 23:59:59,24.435
2022-08-02 23:59:59,17.85
2022-08-03 23:59:59,9.592
2022-08-04 23:59:59,23.214
2022-08-05 23:59:59,30.304
2022-08-06 23:59:59,8.717
2022-08-07 23:59:59,17.203
2022-08-08 23:59:59,5.709
2022-08-09 23:59:59,13.882
2022-08-10 23:59:59,25.691
2022-08-11 23:59:59,24.044
2022-08-12 23:59:59,26.988
2022-08-13 23:59:59,21.336
2022-08-14 23:59:59,30.607
2022-08-15 23:59:59,31.611
2022-08-16 23:59:59,13.966
2022-08-17 23:59:59,3.245
2022-08-18 23:59:59,0.206
2022-08-19 23:59:59,3.523
2022-08-20 23:59:59,3.999
2022-08-21 23:59:59,10.19
2022-08-22 23:59:59,13.02
2022-08-23 23:59:59,12.216
2022-08-24 23:59:59,7.165
2022-08-25 23:59:59,10.313
2022-08-26 23:59:59,15.668
2022-08-27 23:59:59,14.693
2022-08-28 23:59:59,10.785
2022-08-29 23:59:59,8.085
2022-08-30 23:59:59,9.123
2022-08-31 00:00:01,0
gap,gap
2022-09-01 00:00:01,0
2022-09-01 23:59:59,14.229
2022-09-02 23:59:59,7.63
2022-09-03 23:59:59,5.578
2022-09-04 23:59:59,5.464
2022-09-05 23:59:59,6.859
2022-09-06 23:59:59,8.14
2022-09-07 23:59:59,15.899
2022-09-08 23:59:59,15.907
2022-09-09 23:59:59,7.463
2022-09-10 23:59:59,6.693
2022-09-11 23:59:59,7.421
2022-09-12 23:59:59,7.404
2022-09-13 23:59:59,8.971
2022-09-14 23:59:59,8.731
