wd,ws <=5,ws 5 - 8,ws 8 - 11,ws 11 - 14,ws 14 - 17,ws 17 - 20,ws >20
-999,0.03262642740619902,0,0,0,0,0,0
22.5,1.0815660685154975,0.04649265905383371,0.004893964110929794,0,0,0,0
45,0.9592169657422512,0.15171288743882527,0.04404567699836881,0,0,0,0
67.5,1.0791190864600324,0.19331158238172952,0.06362153344208776,0.007340946166394913,0,0,0
90,1.800978792822186,0.5106035889070146,0.1761827079934748,0.03262642740619892,0.0032626427406201586,0,0
112.5,4.458401305057096,2.2438825448613375,1.4290375203915175,0.7879282218597048,0.23491027732463365,0.08319738988580916,0.029363784665576986
135,9.293637846655791,4.392332789559543,2.9779771615008137,2.2536704730832007,1.4241435562805869,0.6386623164763421,0.4649265905383402
157.5,5.327079934747146,0.0097879282218587,0,0,0,0,0
180,2.590538336052202,0.0032626427406201586,0,0,0,0,0
202.5,1.602773246329527,0,0,0,0,0,0
225,1.8694942903752039,0.002446982055464897,0,0,0,0,0
247.5,7.159869494290375,0.48694942903752114,0.0097879282218587,0,0,0,0
270,8.65089722675367,4.9820554649265905,3.2691680261011395,2.4061990212071827,0.9575856443719388,0.1566068515497534,0.048939641109299714
292.5,3.305872756933116,2.2071778140293628,3.3768352365415986,2.708809135399674,1.0595432300163132,0.15660685154975518,0.06117455138662464
315,2.236541598694943,0.9836867862969005,0.6435562805872759,0.3597063621533443,0.14926590538336004,0.034257748776509445,0.009787928221859588
337.5,1.7226753670473083,0.41109298531810756,0.19820554649265887,0.08809135399673718,0.014681892332789825,0,0
360,2.092985318107667,0.1876019575856449,0.07014681892332719,0.008156606851549508,0.0016313213703105234,0,0
